Gene1,Gene2
BCL11B,CCNA2
BCL11B,TACC3
BCL11B,ORC5
BCL11B,HSPE1
BCL11B,TOMM22
BCL11B,RANBP1
BCL11B,ATP5G1
BCL11B,TUBA1B
BCL11B,MDH2
BCL11B,RCC1
BCL11B,EIF2S1
BCL11B,SMC2
BCL11B,KIF20B
BCL11B,RFESD
BCL11B,DCK
BCL11B,BIRC5
BCL11B,CKS1B
BCL11B,RPS27L
BCL11B,BIN2
BCL11B,HSP90AA1
BCL11B,CBX5
BCL11B,ACSS1
BCL11B,NCL
BCL11B,TOMM40
BCL11B,ECT2
BCL11B,NUF2
BCL11B,ADK
BCL11B,ANXA5
BCL11B,SLBP
BCL11B,TXNL1
BCL11B,SLC25A3
BCL11B,FTH1
BCL11B,CARHSP1
BCL11B,COX6B1
BCL11B,H2AFX
BCL11B,TBC1D10C
BCL11B,TSPAN33
BCL11B,POLD1
BCL11B,HDGF
BCL11B,PSMD9
BCL11B,NUP107
BCL11B,CKAP2L
BCL11B,LIMD2
BCL11B,SLC20A1
BCL11B,NUP155
BCL11B,ADGRG1
BCL11B,METTL8
BCL11B,NECAP2
BCL11B,HAGH
BCL11B,POU2AF1
BCL11B,ME2
BCL11B,STT3B
BCL11B,UROS
BCL11B,EIF5A
BCL11B,SOD1
BCL11B,CKAP2
BCL11B,CYC1
BCL11B,VKORC1L1
BCL11B,SLC25A5
BCL11B,TXNRD2
BCL11B,TMEM173
BCL11B,LIG1
BCL11B,IDH3A
BCL11B,PPAT
BCL11B,CDC6
BCL11B,GIMAP5
BCL11B,C1QBP
BCL11B,FAM126A
BCL11B,CDT1
BCL11B,NPM1
BCL11B,DDIAS
BCL11B,NUP93
BCL11B,GFI1
BCL11B,DDX39
BCL11B,GIMAP1
BCL11B,TNFAIP8
BCL11B,FPGS
BCL11B,NOLC1
BCL11B,SLC25A38
BCL11B,VAMP5
BCL11B,CS
BCL11B,CIP2A
BCL11B,FECH
BCL11B,PNO1
BCL11B,TUBB4B
BCL11B,STAT6
BCL11B,MTHFD1
BCL11B,CDCA3
BCL11B,CDC45
BCL11B,SPC24
BCL11B,CENPK
BCL11B,EIF3G
BCL11B,TUBB5
BCL11B,PSME3
BCL11B,LARS2
BCL11B,JUNB
BCL11B,ALDH18A1
BCL11B,PIGQ
BCL11B,PBK
BCL11B,HDAC2
BCL11B,HSPA8
BCL11B,INCENP
BCL11B,NUP85
BCL11B,CAD
BCL11B,CCNE2
BCL11B,DHFR
BCL11B,DTL
BCL11B,ORC2
BCL11B,KNSTRN
BCL11B,MGST3
BCL11B,XPNPEP1
BCL11B,ARHGEF6
BCL11B,BCL11B
BCL11B,PCLAF
BCL11B,LGALS9
BCL11B,D1ERTD622E
BCL11B,CORO1A
BCL11B,HMMR
BCL11B,PPM1L
BCL11B,ELMO1
BCL11B,MYH10
BCL11B,CYTH3
BCL11B,CDC7
BCL11B,CDC20
BCL11B,GMNN
BCL11B,TYMS
BCL11B,PLPP1
BCL11B,HNRNPAB
BCL11B,RRM1
BCL11B,RRM2
BCL11B,AP3S1
BCL11B,SMC4
BCL11B,SLC39A8
BCL11B,CRIP2
BCL11B,HCFC1
BCL11B,CD27
BCL11B,LTB
BCL11B,GSTM1
BCL11B,DDX21
BCL11B,FAM234B
BCL11B,CTLA2A
BCL11B,SPIRE1
BCL11B,PRC1
BCL11B,NHP2
BCL11B,PRKAR2B
BCL11B,ATP5F1
BCL11B,PHF10
BCL11B,GTF2F1
BCL11B,IKZF1
BCL11B,ARHGDIB
BCL11B,RAG2
BCL11B,ASF1B
BCL11B,PLCB2
BCL11B,REEP6
BCL11B,ARHGAP19
BCL11B,POLA2
BCL11B,SLC29A1
BCL11B,ESR1
BCL11B,ATP5B
BCL11B,ESCO2
BCL11B,FOXO1
BCL11B,LSP1
BCL11B,SLC43A1
BCL11B,PIK3IP1
BCL11B,PRIM1
BCL11B,HACD4
BCL11B,MFSD2B
BCL11B,IRF8
BCL11B,HLF
BCL11B,MNDAL
BCL11B,SERPINA3G
BCL11B,LYZ2
BCL11B,GFI1B
BCL11B,AURKB
BCL11B,LY6A
BCL11B,EPOR
BCL11B,NFIA
BCL11B,MECOM
BCL11B,IFITM3
BCL11B,SPTA1
ESR1,HAGH
ESR1,CRIP2
ESR1,NUF2
ESR1,MTHFD1
ESR1,SH3TC2
ESR1,ATP5F1
ESR1,LARS2
ESR1,DDX39
ESR1,TBC1D10C
ESR1,ADK
ESR1,NOLC1
ESR1,GTF2F1
ESR1,ANXA5
ESR1,C1QBP
ESR1,RRM1
ESR1,CDC7
ESR1,RANBP1
ESR1,TNFAIP8
ESR1,PNO1
ESR1,SLC25A3
ESR1,IDH3A
ESR1,CDCA3
ESR1,DTL
ESR1,SLBP
ESR1,SMC2
ESR1,CBX5
ESR1,SLC29A1
ESR1,PPAT
ESR1,SLC43A1
ESR1,H2AFX
ESR1,CYC1
ESR1,PIGQ
ESR1,CENPK
ESR1,TACC3
ESR1,RPS27L
ESR1,HSPE1
ESR1,HSP90AA1
ESR1,NHP2
ESR1,STT3B
ESR1,TXNL1
ESR1,CARHSP1
ESR1,HSPA8
ESR1,CCNE2
ESR1,EIF2S1
ESR1,SLC20A1
ESR1,NCL
ESR1,EIF5A
ESR1,MYLK3
ESR1,ASF1B
ESR1,PPM1L
ESR1,NUP85
ESR1,GSTM1
ESR1,FTH1
ESR1,HDAC2
ESR1,AP3S1
ESR1,TOMM40
ESR1,UROS
ESR1,ATP5G1
ESR1,MDH2
ESR1,RFESD
ESR1,CS
ESR1,FECH
ESR1,BIRC5
ESR1,LSP1
ESR1,JUNB
ESR1,CDT1
ESR1,CCNA2
ESR1,PSMD9
ESR1,SOD1
ESR1,CD63
ESR1,NUP93
ESR1,HNRNPAB
ESR1,NUP107
ESR1,PSME3
ESR1,HDGF
ESR1,NUP155
ESR1,FPGS
ESR1,SLC25A5
ESR1,XPNPEP1
ESR1,LGALS9
ESR1,ORC5
ESR1,NPM1
ESR1,TOMM22
ESR1,HLF
ESR1,TXNRD2
ESR1,DCK
ESR1,TUBA1B
ESR1,GNG11
ESR1,TUBB4B
ESR1,VKORC1L1
ESR1,PLPP1
ESR1,PRC1
ESR1,DDIAS
ESR1,CDC20
ESR1,ATP5B
ESR1,CD34
ESR1,MECOM
ESR1,SLC25A38
ESR1,NECAP2
ESR1,CDC45
ESR1,ME2
ESR1,CKS1B
ESR1,FAM234B
ESR1,DHFR
ESR1,GMNN
ESR1,RCC1
ESR1,STAT6
ESR1,POLD1
ESR1,MYH10
ESR1,EIF3G
ESR1,FOXO1
ESR1,ECT2
ESR1,SMC4
ESR1,METTL8
ESR1,CAD
ESR1,CDC6
ESR1,ARHGAP19
ESR1,KNSTRN
ESR1,LIG1
ESR1,RRM2
ESR1,PRKAR2B
ESR1,FAM126A
ESR1,ALDH1A1
ESR1,INCENP
ESR1,PHF10
ESR1,POLA2
ESR1,COX6B1
ESR1,CTLA2A
ESR1,IFITM3
ESR1,ESCO2
ESR1,CKAP2L
ESR1,ARHGEF6
ESR1,SMIM1
ESR1,MGST3
ESR1,PIK3IP1
ESR1,HCFC1
ESR1,D1ERTD622E
ESR1,DDX21
ESR1,CYTH3
ESR1,CIP2A
ESR1,SPC24
ESR1,LY6A
ESR1,SLC26A1
ESR1,TMEM173
ESR1,ESAM
ESR1,ADGRG1
ESR1,SLC39A8
ESR1,HMMR
ESR1,SLC40A1
ESR1,KIF20B
ESR1,PKLR
ESR1,ELMO1
ESR1,ALDH18A1
ESR1,ORC2
ESR1,NFIA
ESR1,REEP6
ESR1,VAMP5
ESR1,CKAP2
ESR1,PAQR9
ESR1,ESR1
ESR1,GFI1
ESR1,IRF8
ESR1,LIMD2
ESR1,TSPAN33
ESR1,ADD2
ESR1,TUBB5
ESR1,PRIM1
ESR1,COX7B
ESR1,ACSS1
ESR1,GDF3
ESR1,PLCB2
ESR1,MNDAL
ESR1,SPTA1
FOXO1,JUNB
FOXO1,CCNE2
FOXO1,LTB
FOXO1,NUF2
FOXO1,POLA2
FOXO1,LIMD2
FOXO1,ACSS1
FOXO1,CENPK
FOXO1,DHFR
FOXO1,TXNL1
FOXO1,ECT2
FOXO1,VKORC1L1
FOXO1,FTH1
FOXO1,H2AFX
FOXO1,HSP90AA1
FOXO1,RFESD
FOXO1,CDCA3
FOXO1,HAGH
FOXO1,RCC1
FOXO1,LIG1
FOXO1,PIK3IP1
FOXO1,ADK
FOXO1,PPAT
FOXO1,GMNN
FOXO1,EIF2S1
FOXO1,CDC45
FOXO1,HDGF
FOXO1,MTHFD1
FOXO1,FOXO1
FOXO1,METTL8
FOXO1,EIF5A
FOXO1,ANXA5
FOXO1,HDAC2
FOXO1,TACC3
FOXO1,ATP5G1
FOXO1,CDC20
FOXO1,PRIM1
FOXO1,NUP107
FOXO1,IKZF1
FOXO1,PRKAR2B
FOXO1,SLBP
FOXO1,INCENP
GFI1,ASF1B
GFI1,RFESD
GFI1,RANBP1
GFI1,PCLAF
GFI1,GFI1B
GFI1,LIG1
GFI1,D1ERTD622E
GFI1,ORC5
GFI1,DDIAS
GFI1,BIRC5
GFI1,NOLC1
GFI1,CENPK
GFI1,MTHFD1
GFI1,PPAT
GFI1,ADK
GFI1,H2AFX
GFI1,DHFR
GFI1,DTL
GFI1,ME2
GFI1,CDC7
GFI1,CDCA3
GFI1,SLC25A3
GFI1,SLBP
GFI1,HDAC2
GFI1,C1QBP
GFI1,DDX21
GFI1,CAD
GFI1,METTL8
GFI1,DDX39
GFI1,NPM1
GFI1,PSME3
GFI1,CCNA2
GFI1,RPS27L
GFI1,PNO1
GFI1,LARS2
GFI1,PRC1
GFI1,PLPP1
GFI1,VKORC1L1
GFI1,PIGQ
GFI1,FTH1
GFI1,CIP2A
GFI1,TACC3
GFI1,DCK
GFI1,TXNL1
GFI1,ANXA5
GFI1,CKAP2
GFI1,IDH3A
GFI1,NUP85
GFI1,RRM1
GFI1,HAGH
GFI1,EIF5A
GFI1,NUP107
GFI1,ECT2
GFI1,SLC20A1
GFI1,STT3B
GFI1,HSPE1
GFI1,TUBB4B
GFI1,NUP93
GFI1,GMNN
GFI1,CDT1
GFI1,ORC2
GFI1,TYMS
GFI1,CYTH3
GFI1,XPNPEP1
GFI1,PSMD9
GFI1,TUBA1B
GFI1,ALDH18A1
GFI1,TOMM40
GFI1,CS
GFI1,NUF2
GFI1,MGST3
GFI1,MDH2
GFI1,RRM2
GFI1,SLC39A8
GFI1,TXNRD2
GFI1,CBX5
GFI1,FAM126A
GFI1,ATP5F1
GFI1,NCL
GFI1,PBK
GFI1,NUP155
GFI1,ESCO2
GFI1,FOXO1
GFI1,FECH
GFI1,HMMR
GFI1,HDGF
GFI1,KIF20B
GFI1,ARHGAP19
GFI1,SOD1
GFI1,TNFAIP8
GFI1,HNRNPAB
GFI1,EIF2S1
GFI1,SMC2
GFI1,POLA2
GFI1,PHF10
GFI1,UROS
GFI1,PPM1L
GFI1,PRKAR2B
GFI1,ATP5B
GFI1,FPGS
GFI1,SMC4
GFI1,INCENP
GFI1,SLC25A38
GFI1,POLD1
GFI1,CCNE2
GFI1,ELMO1
GFI1,HSP90AA1
GFI1,GTF2F1
GFI1,AP3S1
GFI1,RCC1
GFI1,EIF3G
GFI1,STAT6
GFI1,KNSTRN
GFI1,HSPA8
GFI1,COX6B1
GFI1,GFI1
GFI1,SLC40A1
GFI1,SLC25A5
GFI1,CDC20
GFI1,FAM234B
GFI1,ARHGEF6
GFI1,CARHSP1
GFI1,CD63
GFI1,HLF
GFI1,TOMM22
GFI1,CKAP2L
GFI1,ATP5G1
GFI1,SPC24
GFI1,IKZF1
GFI1,CYC1
GFI1,SLC43A1
GFI1,GNG11
GFI1,MYH10
GFI1,ACSS1
GFI1,VAMP5
GFI1,CDC45
GFI1,NHP2
GFI1,PRIM1
GFI1,MFSD2B
GFI1,SLC29A1
GFI1,CDC6
GFI1,NFIA
GFI1,AURKB
GFI1,NECAP2
GFI1,TBC1D10C
GFI1,CKS1B
GFI1,IRF8
GFI1,ARHGDIB
GFI1,JUNB
GFI1,TSPAN33
GFI1,GSTM1
GFI1,PRSS50
GFI1,CD34
GFI1,MECOM
GFI1,REEP6
GFI1,PAQR9
GFI1,ADD2
GFI1,HBA-A2
GFI1,BIN2
GFI1,CRIP2
GFI1,TUBB5
GFI1,HCFC1
GFI1,LIMD2
GFI1,TMEM173
GFI1,LGALS9
GFI1,CORO1A
GFI1,SMIM1
GFI1,LTB
GFI1,GIMAP5
GFI1,MYLK3
GFI1,EPOR
GFI1B,GFI1B
GFI1B,ASF1B
GFI1B,D1ERTD622E
GFI1B,PCLAF
GFI1B,HNRNPAB
GFI1B,RANBP1
GFI1B,BIRC5
GFI1B,NUF2
GFI1B,MYLK3
GFI1B,RFESD
GFI1B,LIMD2
GFI1B,TMEM173
GFI1B,EIF2S1
GFI1B,GFI1
GFI1B,LIG1
GFI1B,CDCA3
GFI1B,LARS2
GFI1B,CKS1B
GFI1B,NOLC1
GFI1B,ALDH18A1
GFI1B,TYMS
GFI1B,RRM1
GFI1B,PBK
GFI1B,ORC5
GFI1B,ADK
GFI1B,HDGF
GFI1B,CDC7
GFI1B,PIGQ
GFI1B,ESCO2
GFI1B,FOXO1
GFI1B,MTHFD1
GFI1B,IKZF1
GFI1B,HSPE1
GFI1B,TACC3
GFI1B,GMNN
GFI1B,MNDAL
GFI1B,UROS
GFI1B,ECT2
GFI1B,NPM1
GFI1B,CDT1
GFI1B,ATP5F1
GFI1B,IRF8
GFI1B,CIP2A
GFI1B,FTH1
GFI1B,SLC39A8
GFI1B,CENPK
GFI1B,DTL
GFI1B,CKAP2
GFI1B,EPOR
GFI1B,ARHGDIB
GFI1B,NUP155
GFI1B,BIN2
GFI1B,CDC45
GFI1B,PRSS50
GFI1B,EIF3G
GFI1B,NUP85
GFI1B,CDC6
GFI1B,SLBP
GFI1B,DHFR
GFI1B,DDIAS
GFI1B,C1QBP
GFI1B,PLPP1
GFI1B,NCL
GFI1B,HDAC2
GFI1B,CCNE2
GFI1B,VAMP5
GFI1B,PSME3
GFI1B,CCNA2
GFI1B,METTL8
GFI1B,HSP90AA1
GFI1B,SLC25A38
GFI1B,PHF10
GFI1B,H2AFX
GFI1B,PSMD9
GFI1B,CS
GFI1B,CTLA2A
GFI1B,TUBA1B
GFI1B,GTF2F1
GFI1B,NECAP2
GFI1B,KIF20B
GFI1B,TOMM40
GFI1B,TXNL1
GFI1B,ESR1
GFI1B,PPAT
GFI1B,SLC25A3
GFI1B,DCK
GFI1B,ME2
GFI1B,SLC20A1
GFI1B,CKAP2L
GFI1B,SPC24
HCFC1,PRIM1
HCFC1,KNSTRN
HCFC1,ARHGAP19
HCFC1,LIG1
HCFC1,LARS2
HCFC1,NUF2
HCFC1,METTL8
HCFC1,RRM1
HCFC1,PIGQ
HCFC1,CDC6
HCFC1,C1QBP
HCFC1,TOMM22
HCFC1,CDC45
HCFC1,NECAP2
HCFC1,NUP155
HCFC1,NOLC1
HCFC1,FPGS
HCFC1,ATP5G1
HCFC1,GTF2F1
HCFC1,CDCA3
HCFC1,NUP107
HCFC1,PSMD9
HCFC1,MGST3
HCFC1,EIF3G
HCFC1,ESCO2
HCFC1,ORC5
HCFC1,ATP5F1
HCFC1,TACC3
HCFC1,CCNA2
HCFC1,COX6B1
HCFC1,CENPK
HCFC1,RANBP1
HCFC1,TXNL1
HCFC1,RPS27L
HCFC1,NUP93
HCFC1,HSPE1
HCFC1,COX7B
HCFC1,CYC1
HCFC1,SMC2
HCFC1,PNO1
HCFC1,HDGF
HCFC1,EIF2S1
HCFC1,BIRC5
HCFC1,RFESD
HCFC1,TUBB5
HCFC1,PSME3
HCFC1,ORC2
HCFC1,DDX21
HCFC1,KIF20B
HCFC1,HNRNPAB
HCFC1,NUP85
HCFC1,PPAT
HCFC1,ADK
HCFC1,AP3S1
HCFC1,MDH2
HCFC1,MTHFD1
HCFC1,SMC4
HCFC1,CIP2A
HCFC1,UROS
HCFC1,TOMM40
HCFC1,SLC25A3
HCFC1,HMMR
HCFC1,FAM234B
HCFC1,ATP5B
HCFC1,SLC25A38
HCFC1,CDC20
HCFC1,CKAP2L
HCFC1,PBK
HCFC1,CDT1
HCFC1,NPM1
HCFC1,SLBP
HCFC1,HAGH
HCFC1,GMNN
HCFC1,BIN2
HCFC1,INCENP
HCFC1,H2AFX
HCFC1,TYMS
HCFC1,DDX39
HCFC1,POLD1
HCFC1,NHP2
HCFC1,HSPA8
HCFC1,EIF5A
HCFC1,ME2
HCFC1,IDH3A
HCFC1,NCL
HCFC1,CDC7
HCFC1,CS
HCFC1,HSP90AA1
HCFC1,CKS1B
HCFC1,HCFC1
HCFC1,SPC24
HCFC1,POLA2
HCFC1,DTL
HCFC1,XPNPEP1
HCFC1,DDIAS
HCFC1,SOD1
HCFC1,ECT2
HCFC1,TUBB4B
HCFC1,HDAC2
HCFC1,CAD
HCFC1,PPM1L
HCFC1,ASF1B
HCFC1,TUBA1B
HCFC1,STAT6
HCFC1,GIMAP1
HCFC1,CBX5
HCFC1,TBC1D10C
HCFC1,CKAP2
HCFC1,LIMD2
HCFC1,TXNRD2
HCFC1,FTH1
HCFC1,FECH
HCFC1,ALDH18A1
HCFC1,PRC1
HCFC1,RRM2
HCFC1,DCK
HCFC1,SLC25A5
HCFC1,DHFR
HCFC1,RCC1
HCFC1,JUNB
HCFC1,GSTM1
HCFC1,AURKB
HCFC1,SLC20A1
HCFC1,CCNE2
HCFC1,STT3B
HCFC1,PIK3IP1
HCFC1,EPOR
HCFC1,ANXA5
HCFC1,MYH10
HCFC1,SH3TC2
HCFC1,FOXO1
HCFC1,HLF
HCFC1,CORO1A
HCFC1,REEP6
HCFC1,PLPP1
HCFC1,FAM126A
HCFC1,LGALS9
HCFC1,ARHGDIB
HCFC1,CARHSP1
HCFC1,ELMO1
HCFC1,CRIP2
HCFC1,PRKAR2B
HCFC1,SLC39A8
HCFC1,PRSS50
HCFC1,PCLAF
HCFC1,MYLK3
HCFC1,TMEM173
HCFC1,PLCB2
HCFC1,ESR1
HCFC1,CYTH3
HCFC1,VAMP5
HCFC1,ACSS1
HCFC1,GFI1B
HCFC1,SMIM1
HCFC1,GIMAP5
HCFC1,HBA-A2
HCFC1,SLC40A1
HCFC1,LSP1
HCFC1,TNFAIP8
HCFC1,HACD4
HCFC1,PHF10
HCFC1,VKORC1L1
HCFC1,SLC26A1
HCFC1,GFI1
HCFC1,PKLR
HCFC1,PAQR9
HCFC1,MFSD2B
HCFC1,RHD
HCFC1,GDF3
HCFC1,SPTA1
HCFC1,SLC43A1
HCFC1,POU2AF1
HCFC1,CD63
HCFC1,ARHGEF6
HCFC1,TSPAN33
HCFC1,ADD2
HCFC1,D1ERTD622E
HDAC2,NUP107
HDAC2,NOLC1
HDAC2,NUF2
HDAC2,CDC6
HDAC2,KIF20B
HDAC2,RANBP1
HDAC2,PSME3
HDAC2,CCNA2
HDAC2,NUP155
HDAC2,CENPK
HDAC2,ASF1B
HDAC2,ORC5
HDAC2,BIRC5
HDAC2,TOMM40
HDAC2,CKAP2L
HDAC2,PSMD9
HDAC2,TACC3
HDAC2,POLD1
HDAC2,PPAT
HDAC2,RRM1
HDAC2,KNSTRN
HDAC2,TOMM22
HDAC2,PBK
HDAC2,MTHFD1
HDAC2,CKAP2
HDAC2,ECT2
HDAC2,NUP93
HDAC2,HSPE1
HDAC2,INCENP
HDAC2,SMC2
HDAC2,ADK
HDAC2,HSP90AA1
HDAC2,DDX21
